iter	Passed	Remaining
0	144	144358
1	146	72965
2	147	49089
3	149	37147
4	150	30024
5	152	25342
6	155	22050
7	157	19472
8	158	17462
9	160	15852
10	161	14530
11	163	13430
12	164	12496
13	166	11696
14	168	11070
15	170	10469
16	171	9929
17	173	9446
18	174	9015
19	176	8629
20	177	8279
21	179	7960
22	181	7693
23	182	7438
24	184	7196
25	186	6982
26	188	6779
27	189	6586
28	191	6403
29	192	6232
30	194	6083
31	196	5943
32	198	5807
33	199	5674
34	201	5547
35	202	5426
36	204	5311
37	205	5204
38	207	5110
39	209	5017
40	210	4929
41	212	4842
42	213	4758
43	215	4678
44	216	4601
45	218	4527
46	219	4457
47	221	4394
48	223	4334
49	225	4279
50	226	4219
51	228	4160
52	229	4104
53	231	4049
54	232	3998
55	234	3951
56	236	3904
57	237	3860
58	239	3823
59	241	3779
60	242	3736
61	244	3694
62	245	3657
63	247	3622
64	249	3584
65	250	3547
66	252	3521
67	254	3489
68	256	3455
69	257	3421
70	258	3388
71	260	3360
72	262	3330
73	263	3300
74	265	3271
75	267	3250
76	269	3231
77	271	3205
78	272	3182
79	274	3158
80	276	3133
81	277	3108
82	278	3076
83	279	3052
84	281	3032
85	283	3011
86	284	2989
87	286	2967
88	287	2946
89	289	2926
90	291	2906
91	292	2886
92	293	2866
93	295	2847
94	297	2830
95	298	2811
96	300	2792
97	301	2775
98	303	2759
99	304	2742
100	306	2725
101	307	2708
102	309	2692
103	310	2677
104	312	2663
105	314	2648
106	315	2635
107	317	2621
108	318	2607
109	320	2592
110	321	2578
111	323	2563
112	324	2549
113	326	2536
114	327	2523
115	329	2512
116	331	2499
117	333	2489
118	334	2479
119	336	2469
120	338	2459
121	339	2446
122	341	2437
123	343	2427
124	345	2420
125	347	2410
126	348	2397
127	350	2388
128	352	2378
129	353	2367
130	355	2359
131	357	2351
132	359	2342
133	361	2333
134	362	2323
135	364	2312
136	365	2302
137	366	2292
138	368	2282
139	370	2276
140	372	2270
141	373	2257
